,director_name,genres,movie_title,ratings,actors,combine
4580,Scandar Copti,Crime Drama,ajami,7.4,Shahir Kabaha Scandar Copti Ranin Karim,Scandar Copti Crime Drama ajami Shahir Kabaha Scandar Copti Ranin Karim
4581,Goran Dukic,Comedy Drama Fantasy Romance,wristcutters: a love story,7.4,Leslie Bibb Patrick Fugit Chase Ellison,Goran Dukic Comedy Drama Fantasy Romance wristcutters: a love story Leslie Bibb Patrick Fugit Chase Ellison
4582,Mike Cahill,Drama Romance Sci-Fi,i origins,7.3,Steven Yeun Cara Seymour Venida Evans,Mike Cahill Drama Romance Sci-Fi i origins Steven Yeun Cara Seymour Venida Evans
4583,Efram Potelle,Comedy Drama Romance,the battle of shaker heights,6.1,Shiri Appleby Elden Henson Kathleen Quinlan,Efram Potelle Comedy Drama Romance the battle of shaker heights Shiri Appleby Elden Henson Kathleen Quinlan
4584,Peter Jackson,Drama Fantasy Thriller,the lovely bones,6.7,Michael Imperioli AJ Michalka Tom McCarthy,Peter Jackson Drama Fantasy Thriller the lovely bones Michael Imperioli AJ Michalka Tom McCarthy
4585,Joshua Oppenheimer,Biography Crime Documentary History,the act of killing,8.2,Anwar Congo Herman Koto Syamsul Arifin,Joshua Oppenheimer Biography Crime Documentary History the act of killing Anwar Congo Herman Koto Syamsul Arifin
4586,Alex Gibney,Crime Documentary War,taxi to the dark side,7.7,Alex Gibney George W. Bush Greg D'Agostino,Alex Gibney Crime Documentary War taxi to the dark side Alex Gibney George W. Bush Greg D'Agostino
4587,Paul Crowder,Documentary Sport,once in a lifetime: the extraordinary story of the new york cosmos,7.3,Pelé Marv Albert Ahmet Ertegun,Paul Crowder Documentary Sport once in a lifetime: the extraordinary story of the new york cosmos Pelé Marv Albert Ahmet Ertegun
4588,Rohit Jagessar,Drama,guiana 1838,7.4,Kumar Gaurav Rufus Graham Aasheekaa Bathija,Rohit Jagessar Drama guiana 1838 Kumar Gaurav Rufus Graham Aasheekaa Bathija
4589,Griffin Dunne,Comedy Drama,lisa picard is famous,5.7,Mira Sorvino Fisher Stevens Melissa Gilbert,Griffin Dunne Comedy Drama lisa picard is famous Mira Sorvino Fisher Stevens Melissa Gilbert
4590,Anthony Powell,Adventure Biography Documentary Drama,antarctica: a year on ice,7.6,Josh Swanson Tom Hamann Anthony Powell,Anthony Powell Adventure Biography Documentary Drama antarctica: a year on ice Josh Swanson Tom Hamann Anthony Powell
4591,Kief Davidson,Documentary,a lego brickumentary,6.8,G.W. Krauss Brian Whitaker Jason Bateman,Kief Davidson Documentary a lego brickumentary G.W. Krauss Brian Whitaker Jason Bateman
4592,Johnny Remo,Action Drama,hardflip,5.6,Matthew Ziff Randy Wayne Raquel Elizabeth Ames,Johnny Remo Action Drama hardflip Matthew Ziff Randy Wayne Raquel Elizabeth Ames
4593,Vivek Agnihotri,Thriller,chocolate: deep dark secrets,4.8,Emraan Hashmi Anil Kapoor Sunil Shetty,Vivek Agnihotri Thriller chocolate: deep dark secrets Emraan Hashmi Anil Kapoor Sunil Shetty
4594,Ti West,Horror,the house of the devil,6.4,Lena Dunham Greta Gerwig Dee Wallace,Ti West Horror the house of the devil Lena Dunham Greta Gerwig Dee Wallace
4595,Nick Tomnay,Comedy Crime Thriller,the perfect host,6.8,David Hyde Pierce Clayne Crawford Nathaniel Parker,Nick Tomnay Comedy Crime Thriller the perfect host David Hyde Pierce Clayne Crawford Nathaniel Parker
4596,John Hamburg,Comedy Crime,safe men,6.1,Harvey Fierstein Michael Lerner Josh Pais,John Hamburg Comedy Crime safe men Harvey Fierstein Michael Lerner Josh Pais
4597,Nickolas Perry,Crime Drama Romance,speedway junky,5.2,Patrick Renna Patsy Kensit Adrienne Frantz,Nickolas Perry Crime Drama Romance speedway junky Patrick Renna Patsy Kensit Adrienne Frantz
4598,Dan Zukovic,Comedy Drama,the last big thing,6.9,Yul Vazquez Louis Mustillo James Lorinz,Dan Zukovic Comedy Drama the last big thing Yul Vazquez Louis Mustillo James Lorinz
4599,Craig Mazin,Action Comedy Fantasy Sci-Fi,the specials,6.0,Judy Greer James Gunn Jamie Kennedy,Craig Mazin Action Comedy Fantasy Sci-Fi the specials Judy Greer James Gunn Jamie Kennedy
4600,Becky Smith,Comedy Romance,16 to life,6.3,Will Rothhaar Emily Baldoni Hallee Hirsh,Becky Smith Comedy Romance 16 to life Will Rothhaar Emily Baldoni Hallee Hirsh
4601,Eric Nicholas,Crime Drama Thriller,alone with her,6.1,Jordana Spiro Ana Claudia Talancón Jonathon Trent,Eric Nicholas Crime Drama Thriller alone with her Jordana Spiro Ana Claudia Talancón Jonathon Trent
4602,Benjamin Dickinson,Drama Sci-Fi,creative control,5.5,Nora Zehetner Alexia Rasmussen Meredith Hagner,Benjamin Dickinson Drama Sci-Fi creative control Nora Zehetner Alexia Rasmussen Meredith Hagner
4603,Hal Haberman,Comedy Drama Sci-Fi,special,6.9,Michael Rapaport Paul Blackthorne Ian Bohen,Hal Haberman Comedy Drama Sci-Fi special Michael Rapaport Paul Blackthorne Ian Bohen
4604,Darren Stein,Comedy Drama,sparkler,5.6,Frances Bay Jamie Kennedy Veronica Cartwright,Darren Stein Comedy Drama sparkler Frances Bay Jamie Kennedy Veronica Cartwright
4605,A. Raven Cruz,Action Adventure Comedy Fantasy Sci-Fi,the helix... loaded,1.9,Scott Levy Vanilla Ice Jennifer Sky,A. Raven Cruz Action Adventure Comedy Fantasy Sci-Fi the helix... loaded Scott Levy Vanilla Ice Jennifer Sky
4606,Brian Trenchard-Smith,Action Drama,in her line of fire,4.1,David Keith Mariel Hemingway Jesse Hutch,Brian Trenchard-Smith Action Drama in her line of fire David Keith Mariel Hemingway Jesse Hutch
4607,Frank Whaley,Comedy Drama,the jimmy show,5.4,Lynn Cohen Frank Whaley Heather Bucha,Frank Whaley Comedy Drama the jimmy show Lynn Cohen Frank Whaley Heather Bucha
4608,Amat Escalante,Crime Drama Romance,heli,6.8,Kenny Johnston Andrea Vergara Gabriel Reyes,Amat Escalante Crime Drama Romance heli Kenny Johnston Andrea Vergara Gabriel Reyes
4609,Wajahat Rauf,Comedy Family,karachi se lahore,7.0,Rasheed Naz Ayesha Omar Javed Sheikh,Wajahat Rauf Comedy Family karachi se lahore Rasheed Naz Ayesha Omar Javed Sheikh
4610,Katherine Brooks,Drama Romance,loving annabelle,6.7,Ilene Graff Kevin McCarthy Laura Breckenridge,Katherine Brooks Drama Romance loving annabelle Ilene Graff Kevin McCarthy Laura Breckenridge
4611,David Cross,Comedy Drama,hits,5.8,Jason Ritter Matt Walsh Amy Sedaris,David Cross Comedy Drama hits Jason Ritter Matt Walsh Amy Sedaris
4612,Randall Rubin,Crime Drama Thriller,jimmy and judy,6.2,Nicole Randall Johnson A.J. Buckley James Eckhouse,Randall Rubin Crime Drama Thriller jimmy and judy Nicole Randall Johnson A.J. Buckley James Eckhouse
4613,Robert Bennett,Comedy,frat party,2.8,Randy Wayne Lauren C. Mayhew Alicia Ziegler,Robert Bennett Comedy frat party Randy Wayne Lauren C. Mayhew Alicia Ziegler
4614,Guy Hamilton,Drama,the party's over,7.3,Oliver Reed Eddie Albert Louise Sorel,Guy Hamilton Drama the party's over Oliver Reed Eddie Albert Louise Sorel
4615,Mary Pat Kelly,Drama,proud,5.8,Aidan Quinn Ossie Davis Janet Hubert,Mary Pat Kelly Drama proud Aidan Quinn Ossie Davis Janet Hubert
4616,Lori Petty,Drama,the poker house,6.5,Jennifer Lawrence Chloë Grace Moretz Bokeem Woodbine,Lori Petty Drama the poker house Jennifer Lawrence Chloë Grace Moretz Bokeem Woodbine
4617,Charlie Levi,Drama,childless,6.1,Joe Mantegna Barbara Hershey Diane Venora,Charlie Levi Drama childless Joe Mantegna Barbara Hershey Diane Venora
4618,Kevin Hamedani,Comedy Horror Sci-Fi,zmd: zombies of mass destruction,5.1,Russell Hodgkinson Janette Armand Kevin Hamedani,Kevin Hamedani Comedy Horror Sci-Fi zmd: zombies of mass destruction Russell Hodgkinson Janette Armand Kevin Hamedani
4619,David DeCoteau,Horror,snow white: a deadly summer,2.2,Maureen McCormick Shanley Caswell Tim Abell,David DeCoteau Horror snow white: a deadly summer Maureen McCormick Shanley Caswell Tim Abell
4620,Mikel Rueda,Drama Romance,hidden away,7.2,Álex Angulo Germán Alcarazu Joseba Ugalde,Mikel Rueda Drama Romance hidden away Álex Angulo Germán Alcarazu Joseba Ugalde
4621,Stefan C. Schaefer,Comedy Drama Romance,my last day without you,5.7,Nicole Beharie Marlene Forte Reg E. Cathey,Stefan C. Schaefer Comedy Drama Romance my last day without you Nicole Beharie Marlene Forte Reg E. Cathey
4622,Michael Taliferro,Comedy Music,steppin: the movie,3.4,Wesley Jonathan Sticky Fingaz Chrystee Pharris,Michael Taliferro Comedy Music steppin: the movie Wesley Jonathan Sticky Fingaz Chrystee Pharris
4623,David DeCoteau,Western,doc holliday's revenge,3.8,William McNamara Tom Berenger Randy Jay Burrell,David DeCoteau Western doc holliday's revenge William McNamara Tom Berenger Randy Jay Burrell
4624,Katie Aselton,Horror Thriller,black rock,4.7,Katie Aselton Anslem Richardson Jay Paulson,Katie Aselton Horror Thriller black rock Katie Aselton Anslem Richardson Jay Paulson
4625,Robert Heath,Horror Mystery,truth or die,5.6,David Oakes Alexander Vlahos Jennie Jacques,Robert Heath Horror Mystery truth or die David Oakes Alexander Vlahos Jennie Jacques
4626,D. Stevens,Drama Thriller,the pet,3.9,Magi Avila Pierre Dulat Summer Napoles,D. Stevens Drama Thriller the pet Magi Avila Pierre Dulat Summer Napoles
4627,Jeffrey St. Jules,Drama Musical Sci-Fi,bang bang baby,5.4,Boyd Banks Chloe Rose Kristian Bruun,Jeffrey St. Jules Drama Musical Sci-Fi bang bang baby Boyd Banks Chloe Rose Kristian Bruun
4628,Robert Hall,Horror,fear clinic,5.2,Angelina Armani Kevin Gage Fiona Dourif,Robert Hall Horror fear clinic Angelina Armani Kevin Gage Fiona Dourif
4629,K. King,Action Comedy Horror,zombie hunter,3.5,Jason K. Wixom Shona Kay Jarrod Phillips,K. King Action Comedy Horror zombie hunter Jason K. Wixom Shona Kay Jarrod Phillips
4630,Jonathan Meyers,Drama,a fine step,5.3,Justin Baldoni Luke Perry Leonor Varela,Jonathan Meyers Drama a fine step Justin Baldoni Luke Perry Leonor Varela
4631,Danny Boyle,Crime Drama Mystery Thriller,trance,7.0,Rosario Dawson Spencer Wilding Tuppence Middleton,Danny Boyle Crime Drama Mystery Thriller trance Rosario Dawson Spencer Wilding Tuppence Middleton
4632,Ralph Nelson,Drama Romance Sci-Fi,charly,7.1,Cliff Robertson Dick Van Patten Claire Bloom,Ralph Nelson Drama Romance Sci-Fi charly Cliff Robertson Dick Van Patten Claire Bloom
4633,Blair Erickson,Horror Thriller,banshee chapter,5.5,Monique Candelaria Katia Winter Michael McMillian,Blair Erickson Horror Thriller banshee chapter Monique Candelaria Katia Winter Michael McMillian
4634,Unknown,Comedy,jesse            ,5.9,Eric Lloyd David DeLuise Bruno Campos,Unknown Comedy jesse             Eric Lloyd David DeLuise Bruno Campos
4635,Allison Burnett,Drama,ask me anything,6.0,Kimberly Williams-Paisley Gia Mantegna Cathryn de Prume,Allison Burnett Drama ask me anything Kimberly Williams-Paisley Gia Mantegna Cathryn de Prume
4636,Richard Schenkman,Comedy Romance,and then came love,4.8,Vanessa Williams Mike Colter Eartha Kitt,Richard Schenkman Comedy Romance and then came love Vanessa Williams Mike Colter Eartha Kitt
4637,Sanjay Rawal,Documentary News,food chains,7.1,Alma Martinez Robert Kennedy Jr. Eve Ensler,Sanjay Rawal Documentary News food chains Alma Martinez Robert Kennedy Jr. Eve Ensler
4638,Elia Kazan,Crime Drama Romance,on the waterfront,8.2,Marlon Brando Karl Malden Rod Steiger,Elia Kazan Crime Drama Romance on the waterfront Marlon Brando Karl Malden Rod Steiger
4639,Kat Coiro,Comedy,l!fe happens,5.7,Justin Kirk Geoff Stults Kristen Johnston,Kat Coiro Comedy l!fe happens Justin Kirk Geoff Stults Kristen Johnston
4640,Cristian Mungiu,Drama,"4 months, 3 weeks and 2 days",7.9,Anamaria Marinca Vlad Ivanov Alexandru Potocean,"Cristian Mungiu Drama 4 months, 3 weeks and 2 days Anamaria Marinca Vlad Ivanov Alexandru Potocean"
4641,Brian Dorton,Horror,the horror network vol. 1,7.3,Javier Botet Brian Dorton Jan Cornet,Brian Dorton Horror the horror network vol. 1 Javier Botet Brian Dorton Jan Cornet
4642,David Slade,Crime Drama Thriller,hard candy,7.1,Odessa Rae G.J. Echternkamp Patrick Wilson,David Slade Crime Drama Thriller hard candy Odessa Rae G.J. Echternkamp Patrick Wilson
4643,Jamie Babbit,Drama Thriller,the quiet,6.4,Katy Mixon David Gallagher Edie Falco,Jamie Babbit Drama Thriller the quiet Katy Mixon David Gallagher Edie Falco
4644,Maryam Keshavarz,Drama,circumstance,5.9,Sarah Kazemy Reza Sixo Safai Sina Amedson,Maryam Keshavarz Drama circumstance Sarah Kazemy Reza Sixo Safai Sina Amedson
4645,Ryan Coogler,Biography Drama Romance,fruitvale station,7.5,Ahna O'Reilly Melonie Diaz Ariana Neal,Ryan Coogler Biography Drama Romance fruitvale station Ahna O'Reilly Melonie Diaz Ariana Neal
4646,Ramaa Mosley,Comedy Fantasy Thriller,the brass teapot,6.4,Jack McBrayer Michael Angarano Alia Shawkat,Ramaa Mosley Comedy Fantasy Thriller the brass teapot Jack McBrayer Michael Angarano Alia Shawkat
4647,James Algar,Animation Drama Family,bambi,7.4,Sam Edwards Donnie Dunagan Ann Gillis,James Algar Animation Drama Family bambi Sam Edwards Donnie Dunagan Ann Gillis
4648,Charles Herman-Wurmfeld,Comedy Romance Sport,the hammer,7.3,John Enos III Rian Bishop Adam Carolla,Charles Herman-Wurmfeld Comedy Romance Sport the hammer John Enos III Rian Bishop Adam Carolla
4649,Ric Roman Waugh,Action Drama Thriller,snitch,6.5,Dwayne Johnson Harold Perrineau Nadine Velazquez,Ric Roman Waugh Action Drama Thriller snitch Dwayne Johnson Harold Perrineau Nadine Velazquez
4650,C. Jay Cox,Comedy Drama Romance,latter days,7.2,Joseph Gordon-Levitt Rob McElhenney Jacqueline Bisset,C. Jay Cox Comedy Drama Romance latter days Joseph Gordon-Levitt Rob McElhenney Jacqueline Bisset
4651,Mariette Monpierre,Drama,elza,6.7,Stana Roumillac Christophe Cherki Teddy Doloir,Mariette Monpierre Drama elza Stana Roumillac Christophe Cherki Teddy Doloir
4652,Tommy Oliver,Drama,1982,7.1,Bokeem Woodbine Ruby Dee Quinton Aaron,Tommy Oliver Drama 1982 Bokeem Woodbine Ruby Dee Quinton Aaron
4653,Jamie Travis,Comedy,"for a good time, call...",6.0,James Wolk Ari Graynor Nia Vardalos,"Jamie Travis Comedy for a good time, call... James Wolk Ari Graynor Nia Vardalos"
4654,Lee Toland Krieger,Comedy Drama Romance,celeste & jesse forever,6.7,Ari Graynor Janel Parrish Rob Huebel,Lee Toland Krieger Comedy Drama Romance celeste & jesse forever Ari Graynor Janel Parrish Rob Huebel
4655,Rich Christiano,Drama Fantasy Sci-Fi,time changer,5.6,Gavin MacLeod D. David Morin Hal Linden,Rich Christiano Drama Fantasy Sci-Fi time changer Gavin MacLeod D. David Morin Hal Linden
4656,Paul Andrew Williams,Crime Drama Thriller,london to brighton,7.0,Lorraine Stanley Johnny Harris Georgia Groome,Paul Andrew Williams Crime Drama Thriller london to brighton Lorraine Stanley Johnny Harris Georgia Groome
4657,Nick Love,Action Comedy Drama Sci-Fi,american hero,4.9,Eddie Griffin Christopher Berry Michelle Tabora,Nick Love Action Comedy Drama Sci-Fi american hero Eddie Griffin Christopher Berry Michelle Tabora
4658,Natalie Bible',Mystery Thriller,windsor drive,3.2,Tommy O'Reilly Samaire Armstrong Matt Cohen,Natalie Bible' Mystery Thriller windsor drive Tommy O'Reilly Samaire Armstrong Matt Cohen
4659,Asghar Farhadi,Drama Mystery,a separation,8.4,Shahab Hosseini Leila Hatami Peyman Moaadi,Asghar Farhadi Drama Mystery a separation Shahab Hosseini Leila Hatami Peyman Moaadi
4660,Justin Molotnikov,Thriller,crying with laughter,6.9,Jo Hartley Stephen McCole Joe Cassidy,Justin Molotnikov Thriller crying with laughter Jo Hartley Stephen McCole Joe Cassidy
4661,Todd Solondz,Comedy Drama,welcome to the dollhouse,7.5,Heather Matarazzo Ken Leung Christina Vidal,Todd Solondz Comedy Drama welcome to the dollhouse Heather Matarazzo Ken Leung Christina Vidal
4662,Victor Nunez,Drama Romance,ruby in paradise,7.2,Allison Dean Todd Field Dorothy Lyman,Victor Nunez Drama Romance ruby in paradise Allison Dean Todd Field Dorothy Lyman
4663,Peter Sollett,Drama Romance,raising victor vargas,7.2,Victor Rasuk Melonie Diaz Judy Marte,Peter Sollett Drama Romance raising victor vargas Victor Rasuk Melonie Diaz Judy Marte
4664,Georg Wilhelm Pabst,Crime Drama Romance,pandora's box,8.0,Louise Brooks Francis Lederer Fritz Kortner,Georg Wilhelm Pabst Crime Drama Romance pandora's box Louise Brooks Francis Lederer Fritz Kortner
4665,Daniel Davila,Drama,harrison montgomery,7.4,Martin Landau Melora Walters Diane Baker,Daniel Davila Drama harrison montgomery Martin Landau Melora Walters Diane Baker
4666,Jorge Gaggero,Drama,live-in maid,7.2,Norma Aleandro Hilda Bernard Claudia Lapacó,Jorge Gaggero Drama live-in maid Norma Aleandro Hilda Bernard Claudia Lapacó
4667,Rod Lurie,Drama Thriller,deterrence,6.5,Kevin Pollak Kathryn Morris Timothy Hutton,Rod Lurie Drama Thriller deterrence Kevin Pollak Kathryn Morris Timothy Hutton
4668,Michael Burke,Crime Drama Romance,the mudge boy,7.2,Zachary Knighton Tom Guiry Ryan Donowho,Michael Burke Crime Drama Romance the mudge boy Zachary Knighton Tom Guiry Ryan Donowho
4669,Catherine Jelski,Drama,the young unknowns,4.2,Leslie Bibb Eion Bailey Arly Jover,Catherine Jelski Drama the young unknowns Leslie Bibb Eion Bailey Arly Jover
4670,Shane Dawson,Comedy,not cool,5.1,Shane Dawson Kurt Angle Cherami Leigh,Shane Dawson Comedy not cool Shane Dawson Kurt Angle Cherami Leigh
4671,Tommy Wirkola,Comedy Horror,dead snow,6.4,Bjørn Sundquist Stig Frode Henriksen Ane Dahl Torp,Tommy Wirkola Comedy Horror dead snow Bjørn Sundquist Stig Frode Henriksen Ane Dahl Torp
4672,Ryan Little,Action Adventure Drama War,saints and soldiers,6.8,Corbin Allred Larry Bagby Kirby Heyborne,Ryan Little Action Adventure Drama War saints and soldiers Corbin Allred Larry Bagby Kirby Heyborne
4673,Clark Baker,Horror Sci-Fi Short Thriller,vessel,6.2,Taylor Pigeon Alan Pietruszewski Whit Spurgeon,Clark Baker Horror Sci-Fi Short Thriller vessel Taylor Pigeon Alan Pietruszewski Whit Spurgeon
4674,George Lucas,Comedy Drama Music,american graffiti,7.5,Harrison Ford Ron Howard Mackenzie Phillips,George Lucas Comedy Drama Music american graffiti Harrison Ford Ron Howard Mackenzie Phillips
4675,Robert Greenwald,Documentary War,iraq for sale: the war profiteers,7.7,Scott Helvenston Katy Helvenston-Wettengal Donna Zovko,Robert Greenwald Documentary War iraq for sale: the war profiteers Scott Helvenston Katy Helvenston-Wettengal Donna Zovko
4676,Matt Maiellaro,Action Adventure Animation Comedy Fantasy Sci-Fi,aqua teen hunger force colon movie film for theaters,6.9,Tina Fey Fred Armisen Chris Kattan,Matt Maiellaro Action Adventure Animation Comedy Fantasy Sci-Fi aqua teen hunger force colon movie film for theaters Tina Fey Fred Armisen Chris Kattan
4677,Colin Trevorrow,Comedy Drama Romance,safety not guaranteed,7.0,Mary Lynn Rajskub Mark Duplass Jeff Garlin,Colin Trevorrow Comedy Drama Romance safety not guaranteed Mary Lynn Rajskub Mark Duplass Jeff Garlin
4678,Leslie Small,Comedy Documentary,kevin hart: laugh at my pain,7.5,Isaac C. Singleton Jr. Larry King Jeanette Branch,Leslie Small Comedy Documentary kevin hart: laugh at my pain Isaac C. Singleton Jr. Larry King Jeanette Branch
4679,Ben Wheatley,Crime Horror Thriller,kill list,6.3,MyAnna Buring Ben Crompton Neil Maskell,Ben Wheatley Crime Horror Thriller kill list MyAnna Buring Ben Crompton Neil Maskell
4680,Ti West,Horror,the innkeepers,5.5,Lena Dunham Jake Ryan Pat Healy,Ti West Horror the innkeepers Lena Dunham Jake Ryan Pat Healy
4681,David S. Goyer,Drama Fantasy Horror Mystery Thriller,the unborn,4.8,Gary Oldman Atticus Shaffer Rachel Brosnahan,David S. Goyer Drama Fantasy Horror Mystery Thriller the unborn Gary Oldman Atticus Shaffer Rachel Brosnahan
4682,Bernardo Bertolucci,Drama,the conformist,8.1,Jean-Louis Trintignant Stefania Sandrelli Dominique Sanda,Bernardo Bertolucci Drama the conformist Jean-Louis Trintignant Stefania Sandrelli Dominique Sanda
4683,Neil Burger,Drama,interview with the assassin,6.6,Raymond J. Barry Christel Khalil Renee Faia,Neil Burger Drama interview with the assassin Raymond J. Barry Christel Khalil Renee Faia
4684,Oliver Blackburn,Crime Drama Horror Thriller,donkey punch,5.2,Julian Morris Nichola Burley Tom Burke,Oliver Blackburn Crime Drama Horror Thriller donkey punch Julian Morris Nichola Burley Tom Burke
4685,Jonathan Levine,Horror,all the boys love mandy lane,5.6,Luke Grimes Michael Welch Whitney Able,Jonathan Levine Horror all the boys love mandy lane Luke Grimes Michael Welch Whitney Able
4686,Christopher Hutson,Horror,bled,3.1,Dichen Lachman Jennifer Lee Wiggins Michele Morrow,Christopher Hutson Horror bled Dichen Lachman Jennifer Lee Wiggins Michele Morrow
4687,Fred Zinnemann,Thriller Western,high noon,8.1,Gary Cooper Lloyd Bridges Lon Chaney Jr.,Fred Zinnemann Thriller Western high noon Gary Cooper Lloyd Bridges Lon Chaney Jr.
4688,Steve James,Documentary Drama Sport,hoop dreams,8.3,William Gates Arthur Agee Isiah Thomas,Steve James Documentary Drama Sport hoop dreams William Gates Arthur Agee Isiah Thomas
4689,David LaChapelle,Documentary Music,rize,7.1,Kevin Scott Richardson Christopher Toler Tommy the Clown,David LaChapelle Documentary Music rize Kevin Scott Richardson Christopher Toler Tommy the Clown
4690,Joseph Kosinski,Action Adventure Fantasy Sci-Fi,destiny,8.1,Peter Dinklage Lauren Cohan Erick Avari,Joseph Kosinski Action Adventure Fantasy Sci-Fi destiny Peter Dinklage Lauren Cohan Erick Avari
4691,Michael Cuesta,Crime Drama,l.i.e.,7.2,Adam LeFevre Bruce Altman Walter Masterson,Michael Cuesta Crime Drama l.i.e. Adam LeFevre Bruce Altman Walter Masterson
4692,Caryn Waechter,Drama Mystery Thriller,the sisterhood of night,6.3,Laura Fraser Kara Hayward Louis Ozawa Changchien,Caryn Waechter Drama Mystery Thriller the sisterhood of night Laura Fraser Kara Hayward Louis Ozawa Changchien
4693,Emily Dell,Drama Music Romance,b-girl,4.0,Aimee Garcia Wesley Jonathan Drew Sidora,Emily Dell Drama Music Romance b-girl Aimee Garcia Wesley Jonathan Drew Sidora
4694,Peter Jackson,Action Adventure Drama Romance,king kong,7.2,Naomi Watts Thomas Kretschmann Evan Parke,Peter Jackson Action Adventure Drama Romance king kong Naomi Watts Thomas Kretschmann Evan Parke
4695,Jaume Collet-Serra,Horror,house of wax,5.3,Robert Ri'chard Paris Hilton Brian Van Holt,Jaume Collet-Serra Horror house of wax Robert Ri'chard Paris Hilton Brian Van Holt
4696,Ryan Fleck,Drama,half nelson,7.2,Ryan Gosling Tristan Mack Wilds Jeff Lima,Ryan Fleck Drama half nelson Ryan Gosling Tristan Mack Wilds Jeff Lima
4697,Jennifer Wynne Farmer,Drama,naturally native,6.5,Irene Bedard Akima Max Gail,Jennifer Wynne Farmer Drama naturally native Irene Bedard Akima Max Gail
4698,Christopher Scott Cherot,Comedy,hav plenty,6.5,Hill Harper Robinne Lee Chenoa Maxwell,Christopher Scott Cherot Comedy hav plenty Hill Harper Robinne Lee Chenoa Maxwell
4699,H.M. Coakley,Crime Drama Thriller,adulterers,4.9,Mehcad Brooks Steffinnie Phrommany Danielle Savre,H.M. Coakley Crime Drama Thriller adulterers Mehcad Brooks Steffinnie Phrommany Danielle Savre
4700,Randy Moore,Fantasy Horror,escape from tomorrow,5.2,Trey Loney Lee Armstrong Amy Lucas,Randy Moore Fantasy Horror escape from tomorrow Trey Loney Lee Armstrong Amy Lucas
4701,Chris Atkins,Documentary,starsuckers,7.4,Richard Curtis Harvey Weinstein Elton John,Chris Atkins Documentary starsuckers Richard Curtis Harvey Weinstein Elton John
4702,Bill Benenson,Documentary,the hadza: last of the first,7.4,Alfre Woodard Dave Fennoy Jane Goodall,Bill Benenson Documentary the hadza: last of the first Alfre Woodard Dave Fennoy Jane Goodall
4703,Ryan Smith,Fantasy Horror Mystery Thriller,after,5.4,Sandra Ellis Lafferty Madison Lintz Karolina Wydra,Ryan Smith Fantasy Horror Mystery Thriller after Sandra Ellis Lafferty Madison Lintz Karolina Wydra
4704,Travis Romero,Drama Thriller,treachery,3.9,Matthew Ziff Lorraine Ziff Michael Biehn,Travis Romero Drama Thriller treachery Matthew Ziff Lorraine Ziff Michael Biehn
4705,Anna Mastro,Comedy Drama,walter,5.3,Leven Rambin Justin Kirk Virginia Madsen,Anna Mastro Comedy Drama walter Leven Rambin Justin Kirk Virginia Madsen
4706,Mark Sandrich,Comedy Musical Romance,top hat,7.8,Ginger Rogers Edward Everett Horton Eric Blore,Mark Sandrich Comedy Musical Romance top hat Ginger Rogers Edward Everett Horton Eric Blore
4707,Daniel Myrick,Horror,the blair witch project,6.4,Heather Donahue Joshua Leonard Michael C. Williams,Daniel Myrick Horror the blair witch project Heather Donahue Joshua Leonard Michael C. Williams
4708,Michael Wadleigh,Documentary History Music,woodstock,8.1,Joe Cocker Jimi Hendrix Joan Baez,Michael Wadleigh Documentary History Music woodstock Joe Cocker Jimi Hendrix Joan Baez
4709,John Landis,Comedy,the kentucky fried movie,6.5,David Zucker Barry Dennen Tara Strohmeier,John Landis Comedy the kentucky fried movie David Zucker Barry Dennen Tara Strohmeier
4710,Jon Gunn,Action Crime Drama,mercy streets,5.6,Stacy Keach David A.R. White Cynthia Watros,Jon Gunn Action Crime Drama mercy streets Stacy Keach David A.R. White Cynthia Watros
4711,Gene Teigland,Mystery Thriller,arnolds park,5.6,Kendyl Joi Matthew Feeney Tac Fitzgerald,Gene Teigland Mystery Thriller arnolds park Kendyl Joi Matthew Feeney Tac Fitzgerald
4712,Scott Ziehl,Drama,broken vessels,6.6,William Smith Jason London Brent David Fraser,Scott Ziehl Drama broken vessels William Smith Jason London Brent David Fraser
4713,Richard Montoya,Crime Drama,water & power,6.3,Nicholas Gonzalez Angela Nordeng Exie Booker,Richard Montoya Crime Drama water & power Nicholas Gonzalez Angela Nordeng Exie Booker
4714,Johanna Schwartz,Documentary,they will have to kill us first,7.7,Aliou Touré Garba Touré Khaira Arby,Johanna Schwartz Documentary they will have to kill us first Aliou Touré Garba Touré Khaira Arby
4715,William Gazecki,Documentary,crop circles: quest for truth,7.0,Karen Alexander Colin Andrews Francine Blake,William Gazecki Documentary crop circles: quest for truth Karen Alexander Colin Andrews Francine Blake
4716,Lance McDaniel,Action Drama Thriller,light from the darkroom,8.0,Russell Wong Steven Michael Quezada Lymari Nadal,Lance McDaniel Action Drama Thriller light from the darkroom Russell Wong Steven Michael Quezada Lymari Nadal
4717,Thomas Lilti,Comedy Drama,irreplaceable,7.2,François Cluzet Félix Moati Marianne Denicourt,Thomas Lilti Comedy Drama irreplaceable François Cluzet Félix Moati Marianne Denicourt
4718,Michael Walker,Thriller,the maid's room,4.5,Paula Garcés Annabella Sciorra John Brodsky,Michael Walker Thriller the maid's room Paula Garcés Annabella Sciorra John Brodsky
